,comments,labels
54,عالی,پیشنهاد می‌کنم
55,حدودا دو هفته پیش ما این محصول خریداری کردیم از همون ابتدا درجه پرتاب باد برعکس تنظیم شده بود که باهاشون تماس گرفتیم ولی پاسخگو نبودن و الان هم که کلا دیگه کار نمیکنه فکر کنم سوخت,پیشنهاد نمی‌کنم
56,از خریدم راضی هستم کار راه انداز است,پیشنهاد می‌کنم
57,در کل خوبه,پیشنهاد می‌کنم
58,بادش خوب نیس ۴۵۰ هزار تومن نمیرزه,مطمئن نیستم
59,خیلی خیلی خوبه ممنون,پیشنهاد می‌کنم
60,خوب بود. استفاده شد,پیشنهاد می‌کنم
61,خوبه,پیشنهاد می‌کنم
62,پنکه رو میزی,پیشنهاد نمی‌کنم
63,خوب بود,پیشنهاد می‌کنم
64,عالی عالی,پیشنهاد می‌کنم
65,پنکه رومیزی,پیشنهاد می‌کنم
66,خوبه,پیشنهاد می‌کنم
67,جنس خوبی داره من برا تهویه اتاق خواب گرفتم راضی ام,پیشنهاد می‌کنم
68,باد کم!!,پیشنهاد نمی‌کنم
69,پیشنهاد میکنم، در نوع خودش عالی,پیشنهاد می‌کنم
70,خوب بود کارآیی خوبی داره پارسال از همین برند خریدم سرعت فنش به جای از کم به زیاد، از زیاد به کم بود. ولی جالب اینجاست که این یکی هم بعد یکسال هنوز این مشکل رو داره. ولی در کل خوبه و خوب کار میکنه.,پیشنهاد می‌کنم
71,پنکه دمنده,پیشنهاد می‌کنم
72,پنکه رومیزی,پیشنهاد می‌کنم
73,کاش بزرگتر بود یا چرخش داشت,پیشنهاد می‌کنم
74,بد نیست کار رو راه میندازه,پیشنهاد می‌کنم
75,نسبت به قیمتش میارزه شب تا صبح روشن میزارم ولی هیچیش نشده,پیشنهاد می‌کنم
76,خیلی عالی,پیشنهاد می‌کنم
77,پنکه دمنده,مطمئن نیستم
78,باد مناسب,پیشنهاد می‌کنم
79,قسمت مناسب برای فضای اتاق۱۲ متری برای فضای بزرگ نمیشه روش حساب کرد,پیشنهاد می‌کنم
80,بد نیست,پیشنهاد می‌کنم
81,دمنده خوبی هست و پرتاب باد خوبی داره,پیشنهاد می‌کنم
82,حرف نداره,پیشنهاد می‌کنم
83,فعلا که خوبه . کاش تولید کننده یه دسته هم براش میذاشت .,پیشنهاد می‌کنم
84,پنکه خوبیه و شتاب بادش هم خوبه فقط عیبش صدای زیادشه ی جوری سایلنت ترش میکردن بهتر بود,پیشنهاد می‌کنم
85,عالی,پیشنهاد می‌کنم
86,پنکه رومیزی,پیشنهاد می‌کنم
87,پنکه رومیزی,پیشنهاد می‌کنم
88,کارآمد,پیشنهاد می‌کنم
89,من تازه خریدم و خیلی راضی هستم اتاق من کوچک هست و این سایز برای عالی,پیشنهاد می‌کنم
90,خیلی خیلی خوبه,پیشنهاد می‌کنم
91,هوادهی ضعیف,پیشنهاد نمی‌کنم
92,پنکه,پیشنهاد می‌کنم
93,نسبت به ساختش عملکردش قابل قبوله,پیشنهاد می‌کنم
94,من از دیجی کالا این دستگاه را خریدم راضی هستم و به شما هم پیشنهاد میکنم از دیجی کالا خرید کنید ممنون,پیشنهاد می‌کنم
95,بسیار کاربردی,پیشنهاد می‌کنم
96,خوب و کار راه انداز,پیشنهاد می‌کنم
97,روی میز کارم گذاشتم خیلی خوبه,پیشنهاد می‌کنم
98,کاربردی برای فرار از گرما در محل کار,پیشنهاد می‌کنم
99,پنکه رومیزی رو پیشنها میکنم چون واقعا کار راه انداز هستش,پیشنهاد می‌کنم
100,وسیله به درد بخوره,پیشنهاد می‌کنم
101,عالی. بسیار خنک. پیشنهاد میکنم,پیشنهاد می‌کنم
102,راضی هستم,پیشنهاد می‌کنم
103,پنکه عالی,پیشنهاد می‌کنم
104,عالی,پیشنهاد می‌کنم
105,درکل خیلی عالیه فقط کاش قابلیت شارژ داشت زمانیکه برق میرفت قابل استفاده بود,پیشنهاد می‌کنم
106,خوب بود,پیشنهاد می‌کنم
107,توصیه به خریدش دارم,پیشنهاد می‌کنم
108,خوبه,پیشنهاد می‌کنم
109,خوبه,پیشنهاد می‌کنم
110,پنکه,پیشنهاد می‌کنم
111,ایکاش یه پایه کوتاهی براش طراحی بشه که قدرت چرخش پره به محاسن این پنکه اضافه بشه,پیشنهاد می‌کنم
112,من برای روی میزم گرفتم،جای کمی رو اشغال می‌کنه و پرتاب بادش خوبه.درکل راضیم,پیشنهاد می‌کنم
113,کالای مناسب و با کیفیت,پیشنهاد می‌کنم
114,این به اصطلاح پنکه رو خریدم برا مغازه فقط یکش باد خوبی میزد درجه ی دو میچرخونی حتی یه نسیمم نمیزنه رو شماره سه میچرخونی خاموش میشه صدا میده ،سیمش کوتاه بود یک مترم نیس،موقع تحویل تو کارتن مخصوص دیجیکالا نبود دور کارتن خودش سلفون کشیدن در کارتن پنکه باز بود یه کیسه وکیومم نداشت انگار جنس دس دو فروختن مرجوع کردم صبر کردم یکی دیگه بیارن دوباره همون خراب اولیو سلفون پیچ فرستادن برام که بازم مجبور به مرجوع مجدد شدم دلخورم که چرا دیجیکالا چک نمیکنه کالاسالمه یا نه,پیشنهاد نمی‌کنم
115,خرید خوب,پیشنهاد می‌کنم
116,بسیار عالی قدرت پرتاب باد زیاد بنظرم توی هر خونه ای لازمه,پیشنهاد می‌کنم
117,خوبه,پیشنهاد می‌کنم
118,عالی,پیشنهاد می‌کنم
119,بسیار کاربردی با کیفیت مناسب,پیشنهاد می‌کنم
120,دومین باره میخرم عالی,پیشنهاد می‌کنم
121,عالیه،بی صداس,پیشنهاد می‌کنم
122,خوبه,پیشنهاد می‌کنم
123,خوبه,پیشنهاد می‌کنم
124,سلام کلا اهل نظر دادن نیستم زیاد ولی گفتم برا این یه مورد باید نظرمو بذارم ، تو این هفت هشت سالی که از دیجیکالا خرید کردم ، ارسالی به این بدی ندیده بودم ، اصلا با کارت خود کالا فرستاده بودن و کارتن دیجیکالا نداشت رو هم نداشت ، جعبه خودش هم کلا انگار له شده بود ، بعد که کالا رو دیدم یه جور خط و خش و سیاهی روی کابل دیدم که یه حسی رو بهم داد که انگار قبلا کسی استفاده کرده ، خود کالا عیب و نقص خاصی نداره فقط امیدوارم سالم به دستتون برسونم,پیشنهاد می‌کنم
125,برای روی میز خیلی مناسب و کاردبردیه، من دو ساله خریدم و راضی هستم,پیشنهاد می‌کنم
126,خوب,پیشنهاد می‌کنم
127,کم صدا و بازدهی خوب,پیشنهاد می‌کنم
128,خیلی خوبه راضیم,پیشنهاد می‌کنم
129,کاملا راضی بودم ممنون,پیشنهاد می‌کنم
130,بسیار زیبا و شکیل خیلی سبک سه دور شدت دمش باد داره که بسیار عالیه دمش باد حتی در دور پایین، بسیار عالی دور سه، شدت باد خیلی زیادی تولید میکنه و کاملا میشه در اتاق جایگزین پنکه های معمولی بشه طول سیمش خیلی خوبه اصلا لرزش و صدا نداره,پیشنهاد می‌کنم
131,قیمت خوب کارایی عالی,پیشنهاد می‌کنم
132,بسته بندی مناسب باشه بهتر است.حمل ونقل ان ضعیف,پیشنهاد می‌کنم
133,عالی و کاربردی,پیشنهاد می‌کنم
134,خوب بود,پیشنهاد می‌کنم
135,بسیار خوب است,پیشنهاد می‌کنم
136,پنکه رومیزی,پیشنهاد می‌کنم
137,خنک نمی کنه,مطمئن نیستم
138,شدت باد خوبی دارد و خنک میکند فقط اینکه ثابت هست و چرخشی نیست,پیشنهاد می‌کنم
139,فن رومیزی دمنده,پیشنهاد می‌کنم
140,فن هست,پیشنهاد نمی‌کنم
141,بادش خود است مشمل این است چرخشی نیست ثابت است,پیشنهاد می‌کنم
142,از ۲۴ ساعت ۲۲ ساعت روشنه خیلی راضیم .,پیشنهاد می‌کنم
143,برای یه اتاق کوچیک ۴ متری هم حتی جواب نمیده. البته برای شهرهای شمالی یا شمال غربی که هوا خیلی گرم نمیشه میتونه خوب باشه. حالا یه خوبی که داره من به مدت طولانی (بیشتر از ۱۲ ساعت) در طول روز روشن میذارمش (رو شدت ۲ و ۳) و هیچیش نشده فعلا. یعنی از لحاظ اینکه سالم باشه و کار کنه اوکیه.,پیشنهاد نمی‌کنم
144,راضی هستم,پیشنهاد می‌کنم
145,خیلی معمولی,مطمئن نیستم
146,جنس بدنه خوبه ،زیباست و به درد بخوره ولی دوست داشتم حالت گردش به طرفین هم داشت,پیشنهاد می‌کنم
147,عالیه من دو مدلش رو خریدم . فقط کاش چرخش هم داشت,پیشنهاد می‌کنم
148,عالیه,پیشنهاد می‌کنم
149,خوبه تازه خریدم واسه رو میز و از نزدیک خوبه,پیشنهاد می‌کنم
150,پنکه,پیشنهاد می‌کنم
151,فقط میتونم بگم عالیه,پیشنهاد می‌کنم
152,کاربردی هستش ،صداش در دور تندش زیاده اما آزار دهنده نیست . در کل خوبه,پیشنهاد می‌کنم
153,عالی,پیشنهاد می‌کنم
154,بعد از چند روز انتظار ،کالایی که بدستم رسید دارای ایراد ظاهری بود و رنگ بدنه زرد شدگی داره که پاک نمیشه همچنین دکمه ی سرعتش هم برعکسه یعنی شماره یک بالاترین سرعت و شماره سه کمترین سرعته,مطمئن نیستم
155,میارزه,پیشنهاد می‌کنم
156,کاربردی,پیشنهاد می‌کنم
157,پنکه,پیشنهاد می‌کنم
158,عالی,پیشنهاد می‌کنم
159,از نظر کم جا بودن عالیه. تو دور کمش صدای کمی داره و طبیعتا تو دورای بالاتر کمی صداش بیشتر میشه ولی اصلا آزار دهنده نیست. شدت باد خوبی ام داره برای اتاق تا 12 متری کفایت میکنه. اگر مدت زمان بالایی یه جا نشسته باشید این پنکه تا حد زیادی از شر گرما خلاصتون میکنه. طرح و ساختشم خوبه و اصلا ایجاد منظره زشتی نمیکنه و بدنه سفید و طوسی تمیز کار شده ای داره. فقط اگر فکری براش میکردن که پایه هاش بالا و پایین شه و بشه براش زاویه ایجاد کرد خیلی عالی ترم میشد. کارت گارانتی 18 ماهه هم همراه ...,پیشنهاد می‌کنم
160,عالی بود,پیشنهاد می‌کنم
161,عالیههه,پیشنهاد می‌کنم
162,عالی,پیشنهاد می‌کنم
163,من راضی بودم واقعا از گرما نجاتم داد فقط تنها مشکل اینه که هم کوچیکه هم کامل ثابت واینمیسه یکم به عقب متمایله,پیشنهاد می‌کنم
164,عالی و بیصدا,پیشنهاد می‌کنم
165,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
166,ارزش خرید داره واقعا,پیشنهاد می‌کنم
167,خوبه .فقط کار فن رو انجام میده .صداش زیاد نیست .بادش هم معمولی,پیشنهاد می‌کنم
168,عالی,پیشنهاد می‌کنم
169,وسیله ای مناسب برای فضاهای کوچک,پیشنهاد می‌کنم
170,پنکه رومیزی ثابت,پیشنهاد می‌کنم
171,کاربردی,پیشنهاد می‌کنم
172,عالی بود بدون صدای اضافه فقط صدای فن که اونم طبیعیه,پیشنهاد می‌کنم
173,دومین باره این پنکه رو میخرم. برای یه اتاق کوچیک کاملا مناسبه,پیشنهاد می‌کنم
174,بسیار عالی,پیشنهاد می‌کنم
175,عالی,پرتاب باد خوب
176,پنکه رومیزی,پیشنهاد می‌کنم
177,اگه واسه دفتر کار یا همچین چیزی میخواینش عالیه به نسبت قیمتش واسه آشپزخونه وفرار از گرما کنار اجاق هم کارآییش خوبه.. سه تا پرجه تنظیم دارهدرجه کمش هم قدرتش خوبه..کلا راضیم,پیشنهاد می‌کنم
178,درکل خوبه,پیشنهاد می‌کنم
179,من برای خنک کردن پشت یخچال خریداری کردم که جواب داد,پیشنهاد می‌کنم
180,خیلی خوبه باد خیلی خوبه میزنه,پیشنهاد می‌کنم
181,کار راه انداز,پیشنهاد می‌کنم
182,درخصوص پنکه رو میزی دمنده,پیشنهاد می‌کنم
183,خوبه,پیشنهاد می‌کنم
184,متوسط,پیشنهاد می‌کنم
185,به نظرم اکازیونه,پیشنهاد می‌کنم
186,خوبه برای اداره گرفتم,پیشنهاد می‌کنم
187,جنس خوب و قیمت مناسب,پیشنهاد می‌کنم
188,5,پیشنهاد می‌کنم
189,فعلا عالی است.,پیشنهاد می‌کنم
190,درجه سوم (دور کند) دستگاه از زمان باز کردن و شروع به کار کردن خراب بود و حتا با وجود ارائه به نمایندگی و ارسال به شرکت تعمیر نگردید و با همان دو حالت کار میکند.,پیشنهاد نمی‌کنم
191,خوشم آمد. با توجه به قیمتش خوبه و باد خوبی میده,پیشنهاد می‌کنم
192,واقعا عالیه...,پیشنهاد می‌کنم
193,پیشنهاد میکنم,پیشنهاد می‌کنم
194,پنکه رومیزی,پیشنهاد می‌کنم
195,خریدار,پیشنهاد می‌کنم
196,قبلا داشتم.از محصولات شرکت دمنده راضیم,پیشنهاد می‌کنم
197,پنکه,پیشنهاد می‌کنم
198,کار راه اندازه ولی فکر نکنم برای طولانی مدت جواب بده,مطمئن نیستم
199,افتضاح,پیشنهاد نمی‌کنم
200,عالی,پیشنهاد می‌کنم
201,بد نیست ولی قدرت و کارایی پنکه رو نداره برای روزای گرم یکم گردش هوا در اطراف ایجاد میکنه,پیشنهاد می‌کنم
202,خوب و نه عالی,پیشنهاد می‌کنم
203,خنک می‌کنه کیفیت عالی,پیشنهاد می‌کنم
204,عالی و کارآمد,پیشنهاد می‌کنم
205,خیلی عالیه و بادهی عالیی داره,پیشنهاد می‌کنم
206,خوبه میتونست بهتر هم باشه,پیشنهاد می‌کنم
207,خوبه,پیشنهاد می‌کنم
208,نظر کم طرفدار (قطعا منتظر لایک منفی بی منطقتون هستم!),پیشنهاد نمی‌کنم
209,کوچیکه اما‌خوبه,پیشنهاد می‌کنم
210,خیلی خیلی عالی,پیشنهاد می‌کنم
211,برای فضای کوچیک مناسبه، شدت باد خوبی داره و صدای کم. راضی‌ام از خریدش.,پیشنهاد می‌کنم
212,قیمت مناسب,پیشنهاد می‌کنم
213,عالی,پیشنهاد می‌کنم
214,نقاط قوت,پیشنهاد می‌کنم
215,خوب,پیشنهاد می‌کنم
216,توصیه میکنم,پیشنهاد می‌کنم
217,خوب نیست,پیشنهاد نمی‌کنم
218,خیلی خوب بود,پیشنهاد می‌کنم
219,..,مطمئن نیستم
220,کوچک و کاربردی,پیشنهاد می‌کنم
221,خوبه,پیشنهاد می‌کنم
222,خوب کار میکنه,پیشنهاد می‌کنم
223,عالی,پیشنهاد می‌کنم
224,عالی,پیشنهاد می‌کنم
225,اصلا خوب نیست برای یه اتاق کوچک گرفتم اما اصلا اونطوری ک تو نظرات خوندم نبود روبروت تنظیم کنی یه بادی میخوری و گرنه نه😏,پیشنهاد نمی‌کنم
226,خوب,پیشنهاد می‌کنم
227,دمنده هاله,پیشنهاد می‌کنم
228,عالی بود,پیشنهاد می‌کنم
229,من بر خلاف نظر بقیه دوستان،به نظرم اصلا خنک نمی کنه,پیشنهاد نمی‌کنم
230,زیاد جالب نبود,پیشنهاد نمی‌کنم
231,چون اکثر نظرات مثبت بود خریدم ولی پرتاب باد قیمت بالا و کلید رضایت بخش نبود. نداشتن دستگیره و ثابت بدون جهت باد را هم اضافه کنید.,پیشنهاد نمی‌کنم
232,پنکه رومیزی,مطمئن نیستم
233,پرتاب بادش عالی,پیشنهاد می‌کنم
234,پیشنهاد میکنم,پیشنهاد می‌کنم
235,وسیله کاربردی,پیشنهاد می‌کنم
236,فوق العاده کار بردی,پیشنهاد می‌کنم
237,عالی,پیشنهاد می‌کنم
238,کیفیت بالا هوادهی خوب,پیشنهاد می‌کنم
239,نسبت به قیمت خوبه,پیشنهاد می‌کنم
240,وزن کم ، خنک کنندگی خوب قیمت مناسب,پیشنهاد می‌کنم
241,پنکه رومیزی دمنده,پیشنهاد می‌کنم
242,فقط بیست دقیقه کار کرد,پیشنهاد نمی‌کنم
243,پنکه رو میزی,پیشنهاد می‌کنم
244,اندازه خوبی داره.قدرتش هم خوبه.برای شب که میخواهید بخوابید و کولر روشن نکنید، مناسب است,پیشنهاد می‌کنم
245,پنکه رومیزی,پیشنهاد می‌کنم
246,واقعا عالی بود,پیشنهاد می‌کنم
247,پنکه دمنده,پیشنهاد می‌کنم
248,عالی بود,پیشنهاد می‌کنم
249,عااااالی,پیشنهاد می‌کنم
250,خیلی خوب بود ممنونتون دیجی کالا,پیشنهاد می‌کنم
251,تنوع در زندگی,پیشنهاد می‌کنم
252,پنکه رومیزی دمنده,پیشنهاد می‌کنم
253,نسبت به قبمتش خوبه,پیشنهاد می‌کنم
254,پیشنهاد میکنم,پیشنهاد می‌کنم
255,عالی,پیشنهاد می‌کنم
256,پنکه رومیزی دمنده مدل Haleh,پیشنهاد می‌کنم
257,خوبه,پیشنهاد می‌کنم
258,درباره پنکه رومیزی دمنده مدل هاله,پیشنهاد می‌کنم
259,در کل می ارزه,پیشنهاد می‌کنم
260,بادهی خوبی داره ،من شبها تا صبح روشن میزارمش و اصلا هم داغ نکرده,پیشنهاد می‌کنم
261,خوب بود,پیشنهاد می‌کنم
262,به شدت توصیه میشه. اونقدر صدا نداره و حتی وقتی روی کمترین درجه س اتاق رو خنک میکنه,پیشنهاد می‌کنم
263,عالی بووود,پیشنهاد می‌کنم
264,عاالی,پیشنهاد می‌کنم
265,پنکه کار راه انداز,پیشنهاد می‌کنم
266,جمع و جور و عالی,پیشنهاد می‌کنم
267,جمع و جور و مقرون به صرفه,پیشنهاد می‌کنم
268,3 تا حالت داره که حالت يک ش باد خوبي مي زنه و در کل براي استفاده در يک اتاق کوچک يا فاصله نهايتا 3 متري مناسب هست. بدنه با کيفيتي هم داره,پیشنهاد می‌کنم
269,پنکه,پیشنهاد نمی‌کنم
270,پنکه,پیشنهاد می‌کنم
271,پنکه,مطمئن نیستم
272,تشکر از دیجی کالا,پیشنهاد می‌کنم
273,خوب,پیشنهاد می‌کنم
274,برای میز کار عالی,پیشنهاد می‌کنم
275,خیلی خوب,پیشنهاد می‌کنم
276,خیلی بد بود,پیشنهاد نمی‌کنم
277,خیلی عالی و حجم بالا,پیشنهاد می‌کنم
278,احتمالا کیفیت همه محصولات این شرکت یکسان نیست که بعضی راضی هستن و بعضی ناراضی . برای من روی دور کند در قسمت بوش موتور صدای اضافی داره و بدنه پنکه هم لرزش داره که باعث میشه روی میز که میزارم صدا بیشتر بشه,مطمئن نیستم
279,خوبه,پیشنهاد می‌کنم
280,در کل خوبه در طی چند روز استفاده,مطمئن نیستم
281,ثبت نظر در مورد دمنده رو میزی مدل هاله,پیشنهاد می‌کنم
282,واقعا خوب و بی صداست من راضی ام,پیشنهاد می‌کنم
283,خوبه,پیشنهاد می‌کنم
284,عالی,پیشنهاد می‌کنم
285,عالیه کیفیتش,پیشنهاد می‌کنم
286,خوب و کار راه انداز,پیشنهاد می‌کنم
287,خوبه جمع و جوره,پیشنهاد می‌کنم
288,پیشنهاد میکنم,پیشنهاد می‌کنم
289,کارایی نداره,مطمئن نیستم
290,اگه ان شاءالله مشکلی پیدا نکنه واقعا عالیه,پیشنهاد می‌کنم
291,در کل پنکه مناسبی هست در مدت یک هفته استفاده من که راضی بودم . صدای موتور در دورهای مختلف رو گذاشتم میتونید ببینید.,پیشنهاد می‌کنم
292,راضیم,پیشنهاد می‌کنم
293,خوب بود,پیشنهاد می‌کنم
294,خیلی عالی و خوب بود,پیشنهاد می‌کنم
295,ی سه روزهست خریدم بیشتر وقتها روشنه و عالی کار می‌کنه و بیصدا,پیشنهاد می‌کنم
296,پنکه کوچولو و سبک,پیشنهاد می‌کنم
297,من برای خودم ودوتا از دوستانم خریدم.همونطور که در نظرات میخونین یه ایراداتی داره ولی به نظرم مزایاش بیشتره.خیلی بیصدا و کم مصرفه,پیشنهاد می‌کنم
298,عالی,پیشنهاد می‌کنم
299,کار کرد عالیه,پیشنهاد می‌کنم
300,با توجه به تعریف دوستان خریدم ولی یه محصول کاملا معمولی زیاد خنک نمیکنه رو دور تند هم خیلی صدا داره,مطمئن نیستم
301,پنکه,پیشنهاد می‌کنم
302,راضی,پیشنهاد می‌کنم
303,عالیععععععععع,پیشنهاد می‌کنم
304,سلام راضی بودم وبموقع هم تحویل دادن ممنون,پیشنهاد می‌کنم
305,خیلی عالیه,پیشنهاد می‌کنم
306,کارایی,پیشنهاد می‌کنم
307,پر صدای کم بازده,وزن سبک
308,ساده ولی پر کاربرد,پیشنهاد می‌کنم
309,پنکه,پیشنهاد می‌کنم
310,راضی نبودم,مطمئن نیستم
311,قدرت خوب,پیشنهاد می‌کنم
312,جنس خوبی داره سه سرعته خوب خنک میکنه صدا نداره اصلا,پیشنهاد می‌کنم
313,عااالیه,پیشنهاد می‌کنم
314,پنکه,مطمئن نیستم
315,خریدار,پیشنهاد می‌کنم
316,کلا دستگاه خوبیه,پیشنهاد می‌کنم
317,خوب,پیشنهاد می‌کنم
318,دمنده,پیشنهاد می‌کنم
319,قدرت و پرتاب باد عالی,پیشنهاد می‌کنم
320,عالی بود,پیشنهاد می‌کنم
321,من برای اتاق خوابم گرفتم و شب ها روشنش میکنم رو درجه پایین، که خیلی مناسب هست.,پیشنهاد می‌کنم
322,واقعا با کیفیت و قیمت عالی,پیشنهاد می‌کنم
323,عالیییی,پیشنهاد می‌کنم
324,عالیه کاملا راضیم,پیشنهاد می‌کنم
325,فکر نمی‌کردم جواب بده ولی برا اتاق ۱۲متری خوب بود,پیشنهاد می‌کنم
326,خوب بود,پیشنهاد می‌کنم
327,باد دهی خوبی روی دکمه یک دارد،باید دید در طولانی مدت چطور کار میکنه,پیشنهاد می‌کنم
328,پنکه رومیزی,پیشنهاد می‌کنم
329,خوب,پیشنهاد می‌کنم
330,برای محل کار خوبه,پیشنهاد می‌کنم
331,بعد از یک سال استفاده میگم در خریدش شک نکنید,پیشنهاد می‌کنم
332,برای استفاده شخصیه و بدرد اتاق خواب برای خنک کردن یک نفر خوبه,پیشنهاد می‌کنم
333,یکسال از گارانتی گذشته,پیشنهاد نمی‌کنم
334,برای من خوبه کارم راه میندازه,پیشنهاد می‌کنم
335,خوب,پیشنهاد می‌کنم
336,راضی هستم,پیشنهاد می‌کنم
337,عدم ارسال بسته,پیشنهاد نمی‌کنم
338,واقعا پیشنهاد میکنم,پیشنهاد می‌کنم
339,بسته بندی بسیار بده فروشنده ترک دار بودن کالا وبسیار دیر رسیدن کالا اصلا پیشنهاد نمیکنم ازاین فروشنده نخرید,پیشنهاد نمی‌کنم
340,بسیار عالی و بی صدا,پیشنهاد می‌کنم
341,یک روز خریدم و فعلا راضی ام,پیشنهاد می‌کنم
342,پنکه رومیزی,پیشنهاد می‌کنم
343,خوبه همه چیش,پیشنهاد می‌کنم
344,پنکه قوی و خوبی است .3درجه تنظیم دارد . کارایی خوبی دارد,پیشنهاد می‌کنم
